"nom","adresse","code_insee","commune","etat","type","nb_places_dispo","nb_velos_dispo","etat_connexion","x","y","date_modification","geom"
GRANDS MOULINS DE PARIS,11 Square du Pont à Bascule,,Marquette Lez Lille,EN SERVICE,AVEC TPE,14,6,CONNECTÉ,3.055025,50.671436,2025-12-19T13:23:08.235Z,POINT (3.055025 50.671436)
SAINT ROCH,2 rue de la Station,,Marquette Lez Lille,EN SERVICE,AVEC TPE,14,6,CONNECTÉ,3.069332,50.672503,2025-12-19T13:23:08.235Z,POINT (3.069332 50.672503)
PLACE RICHEBE,3 place Richebé,,Lille,EN SERVICE,AVEC TPE,29,11,CONNECTÉ,3.062313,50.632366,2025-12-19T13:23:08.072Z,POINT (3.062313 50.632366)
PORTE D'ARRAS,3 place Jacques Febvrier,,Lille,EN SERVICE,AVEC TPE,4,20,CONNECTÉ,3.061758,50.617847,2025-12-19T13:23:08.099Z,POINT (3.061758 50.617847)
LOUVIERE,94 rue de la Louvière,,Lille,EN SERVICE,AVEC TPE,15,5,CONNECTÉ,3.0858226,50.64569,2025-12-19T13:23:08.129Z,POINT (3.0858226 50.64569)
FER À CHEVAL,Avenue Jean Jaurès (intersection avec avenue Édouard Va,,Roubaix,EN SERVICE,AVEC TPE,2,18,CONNECTÉ,3.154898,50.670155,2025-12-19T13:23:08.216Z,POINT (3.154898 50.670155)
PLACE DELIOT,Place Déliot,,Lille,EN SERVICE,AVEC TPE,19,5,CONNECTÉ,3.068387,50.61957,2025-12-19T13:23:08.097Z,POINT (3.068387 50.61957)
RUE D'ARRAS,87 rue d'Arras,,Lille,EN SERVICE,AVEC TPE,24,1,CONNECTÉ,3.067004,50.62224,2025-12-19T13:23:08.098Z,POINT (3.067004 50.62224)
PLACE COLETTE BESSON,37 rue de Wazemmes,,Lille,EN SERVICE,AVEC TPE,6,16,CONNECTÉ,3.063799,50.62276,2025-12-19T13:23:08.098Z,POINT (3.063799 50.62276)
PORTE DES POSTES,1 place Barthélémy Dorez,,Lille,EN SERVICE,AVEC TPE,25,13,CONNECTÉ,3.049251,50.61856,2025-12-19T13:23:08.098Z,POINT (3.049251 50.61856)
RIHOUR,28 place Rihour,,Lille,EN SERVICE,AVEC TPE,2,30,CONNECTÉ,3.062471,50.63589,2025-12-19T13:23:08.072Z,POINT (3.062471 50.63589)
SAINT MAUR,260 Avenue de la République,,La Madeleine,EN SERVICE,AVEC TPE,6,18,CONNECTÉ,3.081625,50.651638,2025-12-19T13:23:08.131Z,POINT (3.081625 50.651638)
MONS SARTS,61 Avenue Émile Zola,,Mons en Barœul,EN SERVICE,AVEC TPE,13,10,CONNECTÉ,3.099291,50.6423,2025-12-19T13:23:08.132Z,POINT (3.099291 50.6423)
MAIRIE DE MONS,27 Avenue Robert Schuman,,Mons en Barœul,EN SERVICE,AVEC TPE,3,13,CONNECTÉ,3.109699,50.64218,2025-12-19T13:23:08.132Z,POINT (3.109699 50.64218)
ST ANDRE MAIRIE,91 rue du Général Leclerc,,Saint André Lez Lille,EN SERVICE,AVEC TPE,11,13,CONNECTÉ,3.050322,50.661602,2025-12-19T13:23:08.150Z,POINT (3.050322 50.661602)
COLBERT,5 Rue de Gand,,Tourcoing,EN SERVICE,AVEC TPE,10,8,CONNECTÉ,3.156554,50.72551,2025-12-19T13:23:08.212Z,POINT (3.156554 50.72551)
RUE DES POUTRAINS,105 Rue de Lille,,Tourcoing,EN SERVICE,AVEC TPE,11,5,CONNECTÉ,3.150377,50.72263,2025-12-19T13:23:08.213Z,POINT (3.150377 50.72263)
AVENUE MILLET,1 Avenue Jean Millet,,Tourcoing,EN SERVICE,AVEC TPE,10,2,CONNECTÉ,3.150884,50.72498,2025-12-19T13:23:08.213Z,POINT (3.150884 50.72498)
REPUBLIQUE BEAUX ARTS,8 Place de la République,,Lille,EN SERVICE,AVEC TPE,31,1,CONNECTÉ,3.060777,50.630937,2025-12-19T13:23:08.071Z,POINT (3.060777 50.630937)
HELLU - ÉPINE,Rue Paul Kimpe,,Hellemmes,EN SERVICE,AVEC TPE,4,10,CONNECTÉ,3.09978,50.61946,2025-12-19T13:23:08.237Z,POINT (3.09978 50.61946)
MITTERIE,Parvis métro Mitterie,,Lomme,EN SERVICE,AVEC TPE,0,16,CONNECTÉ,3.00768,50.64697,2025-12-19T13:23:08.237Z,POINT (3.00768 50.64697)
STATION PROVISOIRE 1,99 Avenue de la République,,La Madeleine,DÉCONNECTÉ,AVEC TPE,20,0,DÉCONNECTÉ,3.0746028887034784,50.645759826816764,2025-12-19T13:23:08.237Z,POINT (3.0746028887034784 50.645759826816764)
STATION MOBILE 3,4 Rue du Professeur Langevin,,Lille,HORS SERVICE,AVEC TPE,20,0,DÉCONNECTÉ,3.087023,50.616138,2025-12-19T13:23:08.238Z,POINT (3.087023 50.616138)
STATION TEST,4 Rue du Professeur Langevin,,Lille,IN_MAINTENANCE,AVEC TPE,2,0,DÉCONNECTÉ,3.086507,50.616626,2025-12-19T13:23:08.239Z,POINT (3.086507 50.616626)
